source_corroboration,geospatial_consistency,temporal_consistency,visual_evidence,contradiction_penalty,baseline_prior,victim_count,urgency,label
0.95,0.95,0.95,0.90,0.02,0.20,15,0.95,VERIFIED
0.90,0.90,0.85,0.80,0.05,0.20,10,0.90,VERIFIED
0.85,0.92,0.90,0.75,0.10,0.20,8,0.85,VERIFIED
0.80,0.88,0.82,0.70,0.12,0.20,6,0.80,VERIFIED
0.75,0.80,0.80,0.65,0.15,0.20,5,0.75,VERIFIED
0.60,0.75,0.70,0.50,0.20,0.20,4,0.65,UNVERIFIED
0.50,0.70,0.65,0.40,0.25,0.20,3,0.60,UNVERIFIED
0.45,0.65,0.60,0.30,0.30,0.20,2,0.55,UNVERIFIED
0.35,0.55,0.50,0.25,0.40,0.20,2,0.50,UNVERIFIED
0.30,0.50,0.45,0.20,0.45,0.20,1,0.45,UNVERIFIED
0.20,0.30,0.25,0.10,0.70,0.20,0,0.40,SUSPICIOUS
0.15,0.25,0.20,0.05,0.80,0.20,0,0.35,SUSPICIOUS
0.10,0.20,0.15,0.05,0.90,0.20,0,0.30,SUSPICIOUS
0.05,0.10,0.10,0.00,0.95,0.20,0,0.25,SUSPICIOUS
